first,second,result,moves
1,1,1,11
1,2,0,42
2,1,1,11
2,2,0,42
1,3,0,42
2,3,2,38
3,1,1,7
3,2,2,38
3,3,1,39
1,4,0,42
2,4,2,40
3,4,0,42
4,1,1,11
4,2,0,42
4,3,0,42
4,4,2,36
1,5,2,40
2,5,2,38
3,5,0,42
4,5,0,42
5,1,1,9
5,2,1,31
5,3,2,40
5,4,1,35
5,5,2,38
1,6,2,26
2,6,1,39
3,6,2,38
4,6,2,40
5,6,2,38
6,1,1,11
6,2,1,41
6,3,2,38
6,4,1,21
6,5,0,42
6,6,2,36
1,7,0,42
2,7,2,40
3,7,2,26
4,7,2,38
5,7,2,40
6,7,0,42
7,1,1,9
7,2,1,15
7,3,2,40
7,4,2,34
7,5,1,33
7,6,1,23
7,7,2,38
1,8,1,39
2,8,1,39
3,8,2,24
4,8,1,39
5,8,2,42
6,8,0,42
7,8,2,36
8,1,1,11
8,2,1,33
8,3,1,29
8,4,0,42
8,5,1,31
8,6,2,40
8,7,0,42
8,8,1,39
1,9,2,38
2,9,2,32
4,9,2,40
3,9,1,37
6,9,2,40
5,9,1,37
8,9,1,37
7,9,2,36
9,1,1,9
9,2,1,15
9,3,1,37
9,4,2,34
9,5,1,39
9,8,0,42
9,7,1,37
9,6,1,23
9,9,1,37
1,10,2,40
3,10,0,42
2,10,2,36
5,10,2,40
6,10,1,35
4,10,2,40
9,10,1,39
8,10,1,39
10,1,1,9
7,10,2,36
10,3,0,42
10,2,1,39
10,4,1,15
10,6,1,23
10,7,0,42
10,8,2,38
10,10,2,38
10,9,2,38
10,5,0,42
3,11,2,26
8,11,1,41
1,11,2,38
6,11,1,41
4,11,2,38
2,11,2,40
5,11,2,40
9,11,2,36
10,11,2,40
7,11,2,32
11,1,1,9
11,2,1,15
11,8,0,42
11,10,1,39
11,7,1,39
11,5,1,39
11,9,1,39
11,3,1,39
11,4,1,15
11,6,1,23
11,11,2,38
3,12,1,39
1,12,2,40
5,12,2,40
2,12,2,36
9,12,0,42
6,12,0,42
11,12,2,38
10,12,2,40
8,12,1,39
12,1,1,11
7,12,2,28
12,7,1,39
12,2,1,41
12,5,1,31
4,12,2,40
12,3,0,42
12,11,1,41
12,4,1,15
12,8,1,35
12,9,1,37
12,6,1,23
1,13,2,38
12,10,1,39
2,13,2,40
8,13,1,41
3,13,2,26
12,12,1,37
4,13,2,40
6,13,1,41
12,13,1,41
5,13,2,40
7,13,2,32
9,13,2,36
11,13,2,38
10,13,2,40
13,1,1,9
13,4,1,15
13,7,1,37
13,9,1,37
13,8,0,42
13,10,1,39
13,2,1,35
13,5,0,42
13,3,1,39
13,12,2,38
13,11,2,32
13,13,2,32
13,6,1,23
1,14,2,32
3,14,2,26
2,14,1,39
4,14,1,37
6,14,2,38
8,14,2,36
5,14,2,40
10,14,2,42
13,14,2,38
11,14,2,38
9,14,1,41
7,14,2,28
14,1,1,11
14,2,1,39
14,3,1,33
14,5,2,40
14,11,2,40
14,7,2,40
14,13,2,40
12,14,2,40
14,8,1,35
14,9,1,37
14,6,1,23
14,14,2,36
14,4,1,21
14,10,1,37
14,12,1,37
2,15,2,38
3,15,1,39
1,15,2,34
8,15,2,36
4,15,2,38
12,15,1,41
14,15,0,42
6,15,2,36
5,15,2,38
7,15,2,32
11,15,2,38
9,15,2,36
13,15,2,32
10,15,2,40
15,1,1,11
15,3,0,42
15,5,0,42
15,2,2,38
15,11,2,38
15,13,2,40
15,7,2,38
15,15,2,38
15,8,1,39
15,14,1,37
15,9,2,38
15,10,1,39
15,12,1,37
15,4,0,42
4,16,1,39
15,6,1,23
1,16,2,32
2,16,1,39
8,16,2,34
6,16,2,38
3,16,1,39
12,16,2,40
15,16,1,39
5,16,2,40
14,16,1,37
13,16,2,38
11,16,2,38
9,16,1,41
10,16,2,40
7,16,2,32
16,1,1,11
16,2,1,39
16,5,2,40
16,11,2,40
16,7,2,40
16,13,2,40
16,3,1,33
16,15,0,42
16,4,2,42
16,8,1,35
16,9,1,37
16,6,1,23
16,16,2,40
16,10,1,37
16,14,1,37
16,12,1,37
3,17,2,24
8,17,2,36
6,17,2,36
5,17,1,35
7,17,1,35
9,17,1,37
12,17,1,41
10,17,2,40
11,17,1,35
4,17,2,38
16,17,2,40
14,17,2,40
15,17,1,39
2,17,2,40
1,17,2,34
13,17,2,40
17,1,1,9
17,5,1,39
17,9,1,37
17,7,1,37
17,8,1,35
17,10,1,37
17,3,1,35
17,12,1,37
17,2,1,35
17,13,1,35
17,11,1,35
17,4,2,42
17,15,1,35
17,16,2,36
17,14,2,38
17,17,1,35
17,6,1,23
2,18,2,28
4,18,2,34
8,18,0,42
1,18,2,30
3,18,1,39
7,18,2,36
9,18,2,42
11,18,2,38
6,18,2,38
